Extra_feature_col,RMSE Score,MAE Score,run id
None,146.29164574750433,100.41716955015372,1
location_ft,152.46623731595747,109.16354559347174,1
link_ft,132.91567437821868,94.29109075704466,1
weather_ft,148.877790097264,100.92612597126052,1
location_ft + link_ft,128.2826646494615,93.42156970087665,1
location_ft + weather_ft,143.8847942550623,98.12189693427672,1
link_ft + weather_ft,140.47676185256202,96.71627539341836,1
location_ft + link_ft + weather_ft,127.9082110818686,89.74725098079413,1
None,150.32214167602766,102.48337048861654,2
location_ft,138.95203520709896,92.4164238032626,2
link_ft,133.198344429899,92.65004592071854,2
weather_ft,143.96936463316928,93.59519059401258,2
location_ft + link_ft,127.90128159090855,88.59352617075487,2
location_ft + weather_ft,144.5714685718099,93.4899974149237,2
link_ft + weather_ft,138.46373432865553,95.28389397102642,2
location_ft + link_ft + weather_ft,141.5661060505462,100.79530414672752,2
None,157.53239171337367,110.73476740562089,3
location_ft,152.19793556494332,106.28188619610468,3
link_ft,134.8386285257978,93.41144297041382,3
weather_ft,147.36456956970082,97.41310699959108,3
location_ft + link_ft,148.2855009472133,97.1672826629202,3
location_ft + weather_ft,145.58758929705203,95.75764935047512,3
link_ft + weather_ft,150.44498479699706,103.53321504590436,3
location_ft + link_ft + weather_ft,135.48872077429587,93.0545268815926,3
None,145.4436573588625,92.52088043798886,4
location_ft,134.74337246423212,88.79730267919668,4
link_ft,125.65078231664138,85.15333790869839,4
weather_ft,152.7496869554169,102.2729831694361,4
location_ft + link_ft,132.67471589030444,89.9029299852254,4
location_ft + weather_ft,138.91023979610273,91.26032286303884,4
link_ft + weather_ft,126.89964933194976,85.7684883037174,4
location_ft + link_ft + weather_ft,135.23999811220745,91.94767494277298,4
None,144.05884037366582,93.65299043248278,5
location_ft,139.22251395430428,91.02095590959684,5
link_ft,131.15395061045805,87.19454368819622,5
weather_ft,147.8478276567388,96.83192005317764,5
location_ft + link_ft,134.040587385592,87.72591999497232,5
location_ft + weather_ft,151.2864233760739,98.58301568911342,5
link_ft + weather_ft,133.25756165742038,90.1311423653483,5
location_ft + link_ft + weather_ft,138.1441070184108,92.08843712776492,5
None,137.4830908889497,89.40113929073479,6
location_ft,144.83483024619426,95.03384207291585,6
link_ft,128.21425805307666,88.66509927988984,6
weather_ft,142.03510692494305,92.73102216596072,6
location_ft + link_ft,128.08065179169787,87.60177633035605,6
location_ft + weather_ft,139.01227204191545,90.83837429697611,6
link_ft + weather_ft,133.3580037406259,91.59196024502548,6
location_ft + link_ft + weather_ft,139.90365229771925,95.42285769547172,6
None,144.7902516934757,94.75551743010658,7
location_ft,141.016263169634,92.28821118884142,7
link_ft,130.23130970824573,90.189910467268,7
weather_ft,146.4801095540364,95.08862954856684,7
location_ft + link_ft,129.02229037558476,89.16250129421137,7
location_ft + weather_ft,141.94516612562904,94.03961564288537,7
link_ft + weather_ft,129.53545606336513,89.13774851366841,7
location_ft + link_ft + weather_ft,131.97571479122527,87.79636898642886,7
None,141.97237993620118,96.13861298466304,8
location_ft,154.39052763331375,106.6418534187006,8
link_ft,152.66996116561512,111.849313777756,8
weather_ft,155.390350235053,105.58808938499467,8
location_ft + link_ft,134.91108864771817,94.9307582215206,8
location_ft + weather_ft,164.82994564380215,116.31452346913149,8
link_ft + weather_ft,138.5834042099809,93.5756267045196,8
location_ft + link_ft + weather_ft,138.0955194414182,93.81497487871069,8
None,138.18884124234296,92.27612386736712,9
location_ft,135.3059244277436,89.25069667279537,9
link_ft,126.4019612916356,84.80620800743944,9
weather_ft,142.09942578293268,96.40430875545958,9
location_ft + link_ft,124.39314772271068,84.10987897435396,9
location_ft + weather_ft,134.18498944587407,87.8623682615158,9
link_ft + weather_ft,120.5623051131712,80.83857103201844,9
location_ft + link_ft + weather_ft,127.18331674742431,85.3575400165605,9
None,143.64145872080445,104.57839943135647,10
location_ft,140.60306490885634,95.64593010101385,10
link_ft,118.94950806031883,81.88418530099769,10
weather_ft,142.2407864372891,93.39780880100147,10
location_ft + link_ft,123.59749659320003,86.23056859040074,10
location_ft + weather_ft,143.0926170124283,94.11097356269676,10
link_ft + weather_ft,121.68769516247748,84.59756099175716,10
location_ft + link_ft + weather_ft,121.55321780975784,83.40232744377379,10
None,132.61474828041966,87.15772686308631,11
location_ft,136.88613809638372,93.99432289265808,11
link_ft,131.5669366743421,91.54045683292468,11
weather_ft,140.00086753902465,93.11896924989394,11
location_ft + link_ft,132.61882764534508,91.56400787485292,11
location_ft + weather_ft,153.01253803180865,104.9515215082858,11
link_ft + weather_ft,135.05458995640618,95.07252596997031,11
location_ft + link_ft + weather_ft,143.8322424391278,98.41772076399636,11
None,134.20159652432002,90.05544696542763,12
location_ft,128.93466067445894,84.36200793641478,12
link_ft,125.1974643675709,88.5211062995172,12
weather_ft,135.01379304875192,91.10575549037164,12
location_ft + link_ft,121.08608398642714,82.31024258442251,12
location_ft + weather_ft,125.69782108793724,84.2995087652972,12
link_ft + weather_ft,126.01801012837664,86.21972569050655,12
location_ft + link_ft + weather_ft,129.10360545671142,88.57340028989283,12
None,138.89832247113802,95.8909218213319,13
location_ft,128.09547191331134,88.94280216719069,13
link_ft,126.85237184024366,86.55555534521875,13
weather_ft,131.94984869896396,87.69485726732464,13
location_ft + link_ft,129.8176338347511,88.3248791724965,13
location_ft + weather_ft,130.15260216116943,86.69266128868698,13
link_ft + weather_ft,125.85103189766244,85.57667828461796,13
location_ft + link_ft + weather_ft,128.6311451349833,88.05056096125668,13
None,130.34158140276796,85.57058078426176,14
location_ft,132.646304699313,88.86989739458518,14
link_ft,126.91541911185332,85.25196876647306,14
weather_ft,131.73457747903151,87.92515995607171,14
location_ft + link_ft,127.90822302435377,86.45888567700302,14
location_ft + weather_ft,131.097329618696,87.18198483902572,14
link_ft + weather_ft,132.11664423190464,89.29538862524059,14
location_ft + link_ft + weather_ft,138.6135679126221,94.62806614603001,14
